"priority","readiness","work_type","kind","route_type","entity_id","title","missing_fields","review_requirement"
"P1","ready_for_review","create_or_refresh_detail","new","pharmacy_detail","C1110965","영등포제일큰약국","","operational_data_review"
"P1","ready_for_review","create_or_refresh_detail","new","pharmacy_detail","C1402248","친절한우리약국","","operational_data_review"
"P1","ready_for_review","create_or_refresh_detail","new","pharmacy_detail","C1402249","센텀약국","","operational_data_review"
"P1","ready_for_review","create_or_refresh_detail","new","pharmacy_detail","C1402250","초록약국","","operational_data_review"
"P1","ready_for_review","create_or_refresh_detail","new","pharmacy_detail","C2110503","위례스타약국","","operational_data_review"
"P1","ready_for_review","create_or_refresh_detail","new","pharmacy_detail","C2110504","이편한365약국","","operational_data_review"
"P1","ready_for_review","create_or_refresh_detail","new","pharmacy_detail","C2110505","진산한약국","","operational_data_review"
"P1","ready_for_review","create_or_refresh_detail","new","pharmacy_detail","C2110506","미소약국","","operational_data_review"
"P1","ready_for_review","create_or_refresh_detail","new","pharmacy_detail","C2110508","메가팜프라자약국","","operational_data_review"
"P2","ready_for_review","refresh_existing_detail","changed","pharmacy_detail","C1200563","한빛메디칼약국","","operational_data_review"
"P2","ready_for_review","refresh_existing_detail","changed","pharmacy_detail","C1200628","지리산약국","","operational_data_review"
"P2","ready_for_review","refresh_existing_detail","changed","pharmacy_detail","C1200998","경화약국","","operational_data_review"
"P2","ready_for_review","refresh_existing_detail","changed","pharmacy_detail","C1300440","팜프라자약국","","operational_data_review"
"P2","ready_for_review","refresh_existing_detail","changed","pharmacy_detail","C1400320","보원약국","","operational_data_review"
"P2","ready_for_review","refresh_existing_detail","changed","pharmacy_detail","C1400754","메디탑약국","","operational_data_review"
"P2","ready_for_review","refresh_existing_detail","changed","pharmacy_detail","C1402006","계산제일약국","","operational_data_review"
"P2","ready_for_review","refresh_existing_detail","changed","pharmacy_detail","C1500636","온누리요셉약국","","operational_data_review"
"P2","ready_for_review","refresh_existing_detail","changed","pharmacy_detail","C1501120","봄봄약국","","operational_data_review"
"P2","ready_for_review","refresh_existing_detail","changed","pharmacy_detail","C2104291","서약국","","operational_data_review"
